,timestamp,timezone,humidity,pm_2_5,pm_2_5_sp,temperature
65,12/3/2021 7:00,Asia/Bangkok,62.32318992,3.198887344,3.198887344,27.62733658
66,12/4/2021 7:00,Asia/Bangkok,62.60416975,7.996219282,7.996219282,27.30232514
67,12/10/2021 7:00,Asia/Bangkok,62.09544211,19.52631579,19.52631579,26.79052632
68,12/16/2021 7:00,Asia/Bangkok,56.2028,39,45.66666667,27.15666667
69,1/12/2022 7:00,Asia/Bangkok,62.75136238,23.74348856,24.68769716,28.98571767
70,1/13/2022 7:00,Asia/Bangkok,60.98251911,21.59495445,23.22585129,28.35790827
71,1/14/2022 7:00,Asia/Bangkok,61.13995711,27.31868898,29.43793584,28.03771967
72,1/15/2022 7:00,Asia/Bangkok,59.1385199,28.82160279,32.31941545,28.36223382
73,1/16/2022 7:00,Asia/Bangkok,58.62333904,24.64295676,26.83785665,27.83168406
74,1/17/2022 7:00,Asia/Bangkok,61.10480097,21.79805014,23.20125348,28.2518663
75,1/18/2022 7:00,Asia/Bangkok,63.63274397,29.50348675,32.78815331,28.93241812
76,1/19/2022 7:00,Asia/Bangkok,65.36148714,36.33988355,42.76017442,28.71846657
77,1/20/2022 7:00,Asia/Bangkok,63.04928959,31.84895833,36.68104089,29.0449368
78,1/21/2022 7:00,Asia/Bangkok,63.24714264,26.64195804,30.12212142,29.10269365
79,1/22/2022 7:00,Asia/Bangkok,68.88721456,27.64011181,31.22299652,28.43191638
80,1/23/2022 7:00,Asia/Bangkok,67.63461378,28.90048713,32.6506611,28.76380654
81,1/24/2022 7:00,Asia/Bangkok,66.16839324,28.39121339,32.61463415,29.12751916
82,1/25/2022 7:00,Asia/Bangkok,64.45829206,28.32588974,31.44289694,29.38405989
83,1/26/2022 7:00,Asia/Bangkok,62.50209819,28.42887029,32.66504178,29.60939415
84,1/27/2022 7:00,Asia/Bangkok,62.45546727,34.5726257,41.3816156,29.77444986
85,1/28/2022 7:00,Asia/Bangkok,65.20369826,41.07724719,52.36977716,29.32900418
86,1/29/2022 7:00,Asia/Bangkok,66.25020084,40.74471086,53.51462396,29.51130919
87,1/30/2022 7:00,Asia/Bangkok,60.5364322,35.3630662,41.9533101,30.75943554
88,1/31/2022 7:00,Asia/Bangkok,62.7942438,33.58525689,40.95174462,30.26178916
89,2/1/2022 7:00,Asia/Bangkok,63.95620786,35.26047486,42.54558107,29.62209464
90,2/2/2022 7:00,Asia/Bangkok,61.78070202,28.23438596,32.3261324,29.51598606
91,2/3/2022 7:00,Asia/Bangkok,63.08797087,15.33031359,16.28222997,29.73056446
92,2/4/2022 7:00,Asia/Bangkok,66.11124659,22.55969101,25.48328691,29.06889276
93,2/5/2022 7:00,Asia/Bangkok,61.19571856,20.66201117,22.24284717,30.02194696
94,2/6/2022 7:00,Asia/Bangkok,60.95010816,13.93491952,14.9888424,29.56874477
95,2/7/2022 7:00,Asia/Bangkok,64.55620717,20.87534819,21.76114206,29.57766017
96,2/8/2022 7:00,Asia/Bangkok,65.69060725,20.97557572,21.74825662,29.69919107
97,2/9/2022 7:00,Asia/Bangkok,63.24668787,33.18640505,38.54076655,30.16886411
98,2/10/2022 7:00,Asia/Bangkok,73.14949701,28.89028651,32.6183844,28.49488162
99,2/11/2022 7:00,Asia/Bangkok,64.49306513,29.85953878,33.77266388,29.56642957
100,2/12/2022 7:00,Asia/Bangkok,73.20606114,28.41562064,31.51253482,27.87542479
101,2/13/2022 7:00,Asia/Bangkok,67.42303103,18.40655509,18.78172943,29.285
102,2/14/2022 7:00,Asia/Bangkok,68.07936409,22.47662247,23.74686192,28.75623431
103,2/15/2022 7:00,Asia/Bangkok,67.42245515,16.97234352,18.3838897,29.37992743
104,2/16/2022 7:00,Asia/Bangkok,78.49015035,15.18627451,17.1678273,27.52704735
105,2/17/2022 7:00,Asia/Bangkok,76.46395654,20.86856745,21.82267038,28.12586231
106,2/18/2022 7:00,Asia/Bangkok,82.57673903,28.40990991,32.81561338,26.03699628
107,2/19/2022 7:00,Asia/Bangkok,79.25254327,15.14114326,15.78153629,27.01551092
108,2/20/2022 7:00,Asia/Bangkok,71.01656628,18.23093842,18.53445748,29.6488563
109,2/21/2022 7:00,Asia/Bangkok,69.4964,15.06470588,15.27352941,29.32029412
110,2/22/2022 7:00,Asia/Bangkok,69.88431702,26.63308271,29.80734633,29.23107196
111,2/23/2022 7:00,Asia/Bangkok,66.46498454,18.99930362,19.56754875,30.0168454
112,2/24/2022 7:00,Asia/Bangkok,72.38281038,17.99581882,20.41225627,28.35293175
113,2/25/2022 7:00,Asia/Bangkok,72.40690021,36.45923345,45.45644599,28.16474564
114,2/26/2022 7:00,Asia/Bangkok,80.39394704,45.10260014,60.63205575,26.74818815
115,2/27/2022 7:00,Asia/Bangkok,84.35233065,32.74255952,38.68824405,26.18560268
116,2/28/2022 7:00,Asia/Bangkok,81.1631142,20,21.44119694,26.74751566
117,3/1/2022 7:00,Asia/Bangkok,64.13968503,13.46550523,13.84470752,29.58305014
118,3/2/2022 7:00,Asia/Bangkok,61.62831537,14.00668648,14.26280624,30.09747587
119,3/3/2022 7:00,Asia/Bangkok,63.33624854,17.35097493,17.5856546,30.38885794
