pm_2_5,pm_2_5_Lag1,pm_2_5_Lag2,pm_2_5_Lag3,pm_2_5_Lag4,pm_2_5_Lag5,pm_2_5_Lag6,pm_2_5_Lag7
11.97236842,11.27990525,9.832737386,7.994887928,15.16304348,13.29324324,19.43290548,29.24242424
7.357037764,11.97236842,11.27990525,9.832737386,7.994887928,15.16304348,13.29324324,19.43290548
7.196070727,7.357037764,11.97236842,11.27990525,9.832737386,7.994887928,15.16304348,13.29324324
9.834989354,7.196070727,7.357037764,11.97236842,11.27990525,9.832737386,7.994887928,15.16304348
7.374414977,9.834989354,7.196070727,7.357037764,11.97236842,11.27990525,9.832737386,7.994887928
8.201567262,7.374414977,9.834989354,7.196070727,7.357037764,11.97236842,11.27990525,9.832737386
5.432762836,8.201567262,7.374414977,9.834989354,7.196070727,7.357037764,11.97236842,11.27990525
12.92805755,5.432762836,8.201567262,7.374414977,9.834989354,7.196070727,7.357037764,11.97236842
15.59541985,12.92805755,5.432762836,8.201567262,7.374414977,9.834989354,7.196070727,7.357037764
10.55932203,15.59541985,12.92805755,5.432762836,8.201567262,7.374414977,9.834989354,7.196070727
2.5,10.55932203,15.59541985,12.92805755,5.432762836,8.201567262,7.374414977,9.834989354
1.734042553,2.5,10.55932203,15.59541985,12.92805755,5.432762836,8.201567262,7.374414977
2.556390977,1.734042553,2.5,10.55932203,15.59541985,12.92805755,5.432762836,8.201567262
21.56428571,2.556390977,1.734042553,2.5,10.55932203,15.59541985,12.92805755,5.432762836
9.811320755,21.56428571,2.556390977,1.734042553,2.5,10.55932203,15.59541985,12.92805755
5.046357616,9.811320755,21.56428571,2.556390977,1.734042553,2.5,10.55932203,15.59541985
6.791666667,5.046357616,9.811320755,21.56428571,2.556390977,1.734042553,2.5,10.55932203
9.027107475,6.791666667,5.046357616,9.811320755,21.56428571,2.556390977,1.734042553,2.5
18.60679072,9.027107475,6.791666667,5.046357616,9.811320755,21.56428571,2.556390977,1.734042553
9.588671318,18.60679072,9.027107475,6.791666667,5.046357616,9.811320755,21.56428571,2.556390977
11.87141443,9.588671318,18.60679072,9.027107475,6.791666667,5.046357616,9.811320755,21.56428571
11.3143112,11.87141443,9.588671318,18.60679072,9.027107475,6.791666667,5.046357616,9.811320755
12.53483963,11.3143112,11.87141443,9.588671318,18.60679072,9.027107475,6.791666667,5.046357616
27.901427,12.53483963,11.3143112,11.87141443,9.588671318,18.60679072,9.027107475,6.791666667
34.33434821,27.901427,12.53483963,11.3143112,11.87141443,9.588671318,18.60679072,9.027107475
21.82251161,34.33434821,27.901427,12.53483963,11.3143112,11.87141443,9.588671318,18.60679072
12.78047346,21.82251161,34.33434821,27.901427,12.53483963,11.3143112,11.87141443,9.588671318
7.340195709,12.78047346,21.82251161,34.33434821,27.901427,12.53483963,11.3143112,11.87141443
9.876806203,7.340195709,12.78047346,21.82251161,34.33434821,27.901427,12.53483963,11.3143112
11.3966345,9.876806203,7.340195709,12.78047346,21.82251161,34.33434821,27.901427,12.53483963
21.69604065,11.3966345,9.876806203,7.340195709,12.78047346,21.82251161,34.33434821,27.901427
29.79841968,21.69604065,11.3966345,9.876806203,7.340195709,12.78047346,21.82251161,34.33434821
10.64362856,29.79841968,21.69604065,11.3966345,9.876806203,7.340195709,12.78047346,21.82251161
7.493499131,10.64362856,29.79841968,21.69604065,11.3966345,9.876806203,7.340195709,12.78047346
4.106360625,7.493499131,10.64362856,29.79841968,21.69604065,11.3966345,9.876806203,7.340195709
18.4580414,4.106360625,7.493499131,10.64362856,29.79841968,21.69604065,11.3966345,9.876806203
16.83393072,18.4580414,4.106360625,7.493499131,10.64362856,29.79841968,21.69604065,11.3966345
11.47869034,16.83393072,18.4580414,4.106360625,7.493499131,10.64362856,29.79841968,21.69604065
10.7366219,11.47869034,16.83393072,18.4580414,4.106360625,7.493499131,10.64362856,29.79841968
22.54036296,10.7366219,11.47869034,16.83393072,18.4580414,4.106360625,7.493499131,10.64362856
14.3136246,22.54036296,10.7366219,11.47869034,16.83393072,18.4580414,4.106360625,7.493499131
16.55180504,14.3136246,22.54036296,10.7366219,11.47869034,16.83393072,18.4580414,4.106360625
14.57215229,16.55180504,14.3136246,22.54036296,10.7366219,11.47869034,16.83393072,18.4580414
6.88165908,14.57215229,16.55180504,14.3136246,22.54036296,10.7366219,11.47869034,16.83393072
4.736168082,6.88165908,14.57215229,16.55180504,14.3136246,22.54036296,10.7366219,11.47869034
12.31038897,4.736168082,6.88165908,14.57215229,16.55180504,14.3136246,22.54036296,10.7366219
10.28513613,12.31038897,4.736168082,6.88165908,14.57215229,16.55180504,14.3136246,22.54036296
8.931216256,10.28513613,12.31038897,4.736168082,6.88165908,14.57215229,16.55180504,14.3136246
16.63863515,8.931216256,10.28513613,12.31038897,4.736168082,6.88165908,14.57215229,16.55180504
14.36458551,16.63863515,8.931216256,10.28513613,12.31038897,4.736168082,6.88165908,14.57215229
8.421696689,14.36458551,16.63863515,8.931216256,10.28513613,12.31038897,4.736168082,6.88165908
22.05538501,8.421696689,14.36458551,16.63863515,8.931216256,10.28513613,12.31038897,4.736168082
20.14278837,22.05538501,8.421696689,14.36458551,16.63863515,8.931216256,10.28513613,12.31038897
19.73289367,20.14278837,22.05538501,8.421696689,14.36458551,16.63863515,8.931216256,10.28513613
6.528542504,19.73289367,20.14278837,22.05538501,8.421696689,14.36458551,16.63863515,8.931216256
11.39471637,6.528542504,19.73289367,20.14278837,22.05538501,8.421696689,14.36458551,16.63863515
2.640378213,11.39471637,6.528542504,19.73289367,20.14278837,22.05538501,8.421696689,14.36458551
1.100546448,2.640378213,11.39471637,6.528542504,19.73289367,20.14278837,22.05538501,8.421696689
3.198887344,1.100546448,2.640378213,11.39471637,6.528542504,19.73289367,20.14278837,22.05538501
7.996219282,3.198887344,1.100546448,2.640378213,11.39471637,6.528542504,19.73289367,20.14278837
19.52631579,7.996219282,3.198887344,1.100546448,2.640378213,11.39471637,6.528542504,19.73289367
